"cr83d_appcategory1id","importsequencenumber","cr83d_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","cr83d_parentappcode"
"d5c95fbf-011c-f111-88b2-000d3a316591","","OCF_CompReq","1","0","","","2575541","c88f4d16-1e19-f111-8342-000d3a30e1ff","55d939b9-011c-f111-88b2-000d3a316591"
"d4c95fbf-011c-f111-88b2-000d3a316591","","OCF_Audit","1","0","","","2575540","c88f4d16-1e19-f111-8342-000d3a30e1ff","55d939b9-011c-f111-88b2-000d3a316591"
"d3c95fbf-011c-f111-88b2-000d3a316591","","SDM_Escal","1","0","","","2575539","c88f4d16-1e19-f111-8342-000d3a30e1ff","58d939b9-011c-f111-88b2-000d3a316591"
"d2c95fbf-011c-f111-88b2-000d3a316591","","SDM_SvcRev","1","0","","","2575538","c88f4d16-1e19-f111-8342-000d3a30e1ff","58d939b9-011c-f111-88b2-000d3a316591"
"d1c95fbf-011c-f111-88b2-000d3a316591","","GAS_MailRoom","1","0","","","2575537","c88f4d16-1e19-f111-8342-000d3a30e1ff","53d939b9-011c-f111-88b2-000d3a316591"
"d0c95fbf-011c-f111-88b2-000d3a316591","","GAS_FacMgmt","1","0","","","2575536","c88f4d16-1e19-f111-8342-000d3a30e1ff","53d939b9-011c-f111-88b2-000d3a316591"
"cfc95fbf-011c-f111-88b2-000d3a316591","","SOU_ConNeg","1","0","","","2575535","c88f4d16-1e19-f111-8342-000d3a30e1ff","59d939b9-011c-f111-88b2-000d3a316591"
"cec95fbf-011c-f111-88b2-000d3a316591","","SOU_RFP","1","0","","","2575534","c88f4d16-1e19-f111-8342-000d3a30e1ff","59d939b9-011c-f111-88b2-000d3a316591"
"cdc95fbf-011c-f111-88b2-000d3a316591","","SRM_ConMgmt","1","0","","","2575533","c88f4d16-1e19-f111-8342-000d3a30e1ff","5ad939b9-011c-f111-88b2-000d3a316591"
"ccc95fbf-011c-f111-88b2-000d3a316591","","SRM_SupRev","1","0","","","2575532","c88f4d16-1e19-f111-8342-000d3a30e1ff","5ad939b9-011c-f111-88b2-000d3a316591"
"cbc95fbf-011c-f111-88b2-000d3a316591","","PIA_APAC","1","0","","","2575531","c88f4d16-1e19-f111-8342-000d3a30e1ff","57d939b9-011c-f111-88b2-000d3a316591"
"cac95fbf-011c-f111-88b2-000d3a316591","","PIA_US","1","0","","","2575530","c88f4d16-1e19-f111-8342-000d3a30e1ff","57d939b9-011c-f111-88b2-000d3a316591"
"c9c95fbf-011c-f111-88b2-000d3a316591","","MBL_EME","1","0","","","2575529","c88f4d16-1e19-f111-8342-000d3a30e1ff","54d939b9-011c-f111-88b2-000d3a316591"
"c8c95fbf-011c-f111-88b2-000d3a316591","","CLT_POC","1","0","","","2575528","c88f4d16-1e19-f111-8342-000d3a30e1ff","52d939b9-011c-f111-88b2-000d3a316591"
