"cr83d_appcode1id","cr83d_businessprocess","cr83d_code","importsequencenumber","cr83d_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"5bd939b9-011c-f111-88b2-000d3a316591","Travel & Expenses","TnE","","TnE - Travel & Expenses","1","0","","","2575498","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"5ad939b9-011c-f111-88b2-000d3a316591","Sourcing","SRM","","SRM - Supplier Relationship Management","1","0","","","2575497","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"59d939b9-011c-f111-88b2-000d3a316591","Sourcing","SOU","","SOU - Sourcing","1","0","","","2575496","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"58d939b9-011c-f111-88b2-000d3a316591","Sourcing","SDM","","SDM - Service Delivery Management","1","0","","","2575495","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"57d939b9-011c-f111-88b2-000d3a316591","Sourcing","PIA","","PIA - Personal & Institutional Advisory","1","0","","","2575494","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"56d939b9-011c-f111-88b2-000d3a316591","Sourcing","OPS","","OPS - Operations","1","0","","","2575493","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"55d939b9-011c-f111-88b2-000d3a316591","Sourcing","OCF","","OCF - Operations & Control Functions","1","0","","","2575492","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"54d939b9-011c-f111-88b2-000d3a316591","Sourcing","MBL","","MBL - Markets Business Line","1","0","","","2575491","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"53d939b9-011c-f111-88b2-000d3a316591","Sourcing","GAS","","GAS - Global Administrative Services","1","0","","","2575490","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"52d939b9-011c-f111-88b2-000d3a316591","Sourcing","CLT","","CLT - Client Services","1","0","","","2575488","c88f4d16-1e19-f111-8342-000d3a30e1ff"
"51d939b9-011c-f111-88b2-000d3a316591","Sourcing","CRL","","CRL - Corporate Relations","1","0","","","2575487","c88f4d16-1e19-f111-8342-000d3a30e1ff"
