"importsequencenumber","cra83_queueteammapping1","cra83_queueteammappingid","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cra83_cr83d_appcode1","owningbusinessunit","cra83_team.membershiptype","cra83_team.azureactivedirectoryobjectid"
"","TnE","f35b02ed-c326-f111-88b4-000d3a316591","1","0","","","3232583","5bd939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","SRM","ed17d4e2-c326-f111-88b4-000d3a316591","1","0","","","3232577","5ad939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","SOU","fb2646c7-c326-f111-88b4-000d3a316591","1","0","","","3232572","59d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","SDM","1ffa1dbe-c326-f111-88b4-000d3a316591","1","0","","","3232567","58d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","PIA","6424f6ae-c326-f111-88b4-000d3a316591","1","0","","","3232561","57d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","OPS","3a31c89e-c326-f111-88b4-000d3a316591","1","0","","","3232556","56d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","OCF","4ff7ad10-8902-4ebb-8368-a3ea4f33664e","1","0","","","3232551","55d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","CLT","80230ace-64dd-4df0-8a17-9e5854259c58","1","0","","","3232546","52d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","CRL","9c4e4771-22c4-43b2-aea3-8c05976db56f","1","0","","","3232544","51d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","GAS","2301654f-b667-45a2-8cef-5826fc024a99","1","0","","","3232543","53d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
"","MBL","33023a7f-4d17-4425-bdf0-26b0cfecea39","1","0","","","3232541","54d939b9-011c-f111-88b2-000d3a316591","c88f4d16-1e19-f111-8342-000d3a30e1ff","0",""
